table_field1,table_field2,table_field3,div_content
长城资源调查工作手册,,通知公告,前 言 万里长城是中华文明的象征，是人类宝贵的历史文化遗产。根据《“长城保护工程（2005-2014年）”总体工作方案》，国家文物局决定启动长城保护工程。 “长城保护工程（2005-2014年）”的目标是：争取用较短的时间摸清长城家底、建立健全相关法规制度、理顺管理体制，在统一规划的指导下，科学安排长城保护维修、合理利用等工作，并依法加强监管，从根本上遏制对长城的破坏，为长城保护管理工作的良性发展打下坚实基础。 开展长城资源调查，建立长城记录档案是长城保护工程的基础工作。根据《“长城保护工程（2005-2014年）”总体工作方案》，国家文物局和国家测绘局决定合作开展长城资源调查工作。自2007年始，在试点省经验的基础上，全面开展长城资源调查。通过科学调查，准确掌握长城现存状况。 为科学开展长城资源调查工作、获取完整、准确的调查资料，在广泛征求意见的基础上，参照国家相关行业规范和标准编制了《长城资源调查工作手册》。 本手册由五部分组成。第一部分：文件汇编，收录了长城保护工程启动以来，与长城资源调查相关的重要文件。第二部分：方案及规程，收录了《长城资源调查工作总体方案》和《长城资源调查工作规程》。第三部分：办法及制度，收录了《长城资源调查管理办法》和《长城资源调查资料管理制度》。第四部分：规范及相关标准，收录了《长城资源调查名称使用规范》、《长城资源调查文物编码规则》、《长城资源保存程度评价标准》、《长城基础地理信息与专题要素生产外业技术规定》、《长城基础地理信息与专题要素生产外业技术规定》、《长城基础地理信息与专题要素数据技术规定》。第五部分：长城资源调查登记表及著录说明。本手册辑录的内容供长城资源调查人员使用。 国家文物局 国家测绘局 二○○七年四月 目 录 第一部分 文件汇编 长城保护条例 “长城保护工程（2005—2014年）”总体工作方案 国家测绘局、国家文物局关于合作开展长城地理信息资源调查协议书 国家文物局、国家测绘局关于合作开展长城资源调查工作的通知 《全国重点文物保护单位记录档案工作规范（试行）》 第二部分 方案及规程 长城资源调查工作总体方案 长城资源调查工作规程 第三部分 办法与制度 全国长城资源调查管理办法 长城资源调查资料管理制度 第四部分 规范及相关标准 长城资源调查名称使用规范 长城资源调查文物编码规则 长城资源保存程度评价标准 长城基础地理信息与专题要素数据生产外业技术规定 长城基础地理信息与专题要素数据生产内业技术规定 长城基础地理信息和专题要素数据技术规定 第五部分 长城资源调查登记表及著录说明 长城墙体调查登记表及著录说明 长城关堡调查登记表及著录说明 长城单体建筑调查登记表及著录说明 长城相关遗存登记表及著录说明 界壕/壕堑本体调查登记表及著录说明 长城调查采（征）集标本登记表及著录说明 长城GPS采集点登记表及著录说明 长城资源调查录像登记表及著录说明 长城资源调查照片登记表、册页及其著录说明 长城资源调查绘图资料登记表、册页及其著录说明 长城资源调查工作日志 附件： 长城资源调查工作手册下载
关于报送长城保护员名单的通知,办人函[2015]1141号,人事信息,办人函〔2015〕1141号 长城沿线各省、自治区、直辖市文物局： 《长城保护条例》自2006年12月1日实施以来，各地采取积极措施，使长城保护工作取得了较大进展，特别是聘任长城保护员制度实施后，极大地调动了沿线群众参与长城保护的积极性，取得了明显成效。为进一步做好相关工作，请于8月20日前将本省（区、市）长城保护员名单以书面方式加盖法人章后报国家文物局人事司。并将长城保护员人员信息电子表发国家文物局人事司人事处。 附件： 长城保护员人员信息表 国家文物局 2015年8月7日 （联系人及电话：国家文物局人事司人事处吴刚  56792120  Email： renshichu@sach.gov.cn 。）
关于报送长城保护员名单的函,办人函[2015]1141号,通知公告,办人函〔2015〕1141号 长城沿线各省、自治区、直辖市： 《长城保护条例》自2006年12月1日实施以来，各地采取积极措施，使长城保护工作取得了较大进展，特别是聘任长城保护员制度实施后，极大的调动了沿线群众参与长城保护的积极性，取得了明显成效。为进一步做好相关工作，请于8月20日前将本省（区、市）长城保护员名单以书面方式加盖法人章后报国家文物局人事司。并将长城保护员人员信息电子表发国家文物局人事处。 国家文物局人事司 2015年8月4日 联系人及电话：国家文物局人事处  56792120 Email：renshichu@ncha.gov.cn.
关于请支持明长城数据发布仪式的函,文物保函[2009]432号,世界遗产,文物保函〔2009〕432号 中共中央宣传部新闻局： 长城资源调查是长城总体保护的重要基础性工作，得到党中央、国务院领导的高度重视，以及中央财政的大力支持，也为社会各界高度关注。根据国务院领导同意的《长城保护工程（2005—2014）总体工作方案》，国家文物局、国家测绘局合作开展了明长城资源调查工作。目前野外调查工作已结束，量测计算出明长城准确数据，并已报国务院批准。 为扩大长城保护的宣传力度，提高广大民众的保护意识，国家文物局、国家测绘局拟于2009年4月18日10：30—11：30，在北京市八达岭长城举办明长城长度数据发布仪式。 为提高明长城长度数据发布的影响力和时效性，拟请贵局协调中央电视台等媒体对此次发布活动给予大力支持和深入报道。 感谢贵局对文化遗产事业的大力支持和帮助。 国家文物局 二○○九年四月十六日
关于花场峪长城修缮工程立项的批复,文物保函[2014]2935号,"行政审批,世界遗产",文物保函〔2014〕2935号 河北省文物局： 你局《关于花厂峪长城修缮工程立项的请示》（冀文物字[2014]295号）收悉。经研究，我局批复如下： 一、原则同意河北省花场峪长城修缮工程立项。（长城认定编码：花场峪村07号敌台：130323352101170227；花场峪村08号敌台：130323352101170228；花场峪村09号敌台130323352101170229；花场峪村10号敌台：130323352101170230；花场峪长城08段：130323382103170102；花场峪长城09段：130323382102170103；花场峪长城10段：130323382103170104；花场峪长城11段：130323382103170105。） 二、在编制工程技术方案时，应注意以下方面： （一）该工程性质为修缮工程。 （二）应遵循“不改变文物原状”和“最小干预”的原则，控制工程规模和干预程度，注意保存不同历史时期、具有历史价值的遗存。 （三）应深化文物保存现状勘查和病害分析，量化残损情况，补充现状照片，科学评估存在的问题，拟定有针对性的保护措施。 三、请你局根据上述意见和《文物保护工程设计文件编制深度要求（试行）》，组织具有相应资质的专业单位编制修缮工程技术方案，由你局初审同意后，报我局审批。 四、如需申请国家重点文物保护专项补助资金，请在修缮工程技术方案批复后，按照预算编制的相关规范要求，编制工程预算按程序报批。 此复。 国家文物局 2014年12月17日
关于明长城长度数据发布工作的通知,文物保函[2009]806号,世界遗产,文物保函〔2009〕806号 有关省、自治区、直辖市文物局（文化厅、文管会）： 我国明长城资源调查工作已取得阶段性成果，为进一步规范各省省域范围内明长城长度数据发布工作，我局现就有关事宜通知如下： 一、根据《中华人民共和国测绘成果管理条例》及国家文物局、国家测绘局《关于合作开展长城地理信息资源调查协议书》的有关规定，明长城长度数据属于国家重要基础地理信息，由国家文物局、国家测绘局共同负责其发布审核工作。各地明长城相关长度数据（包括调查长度数据），应由各省级文物行政部门和测绘行政部门共同报经国家文物局和国家测绘局批准后公布。 二、已由某一省（自治区、直辖市）完成调查工作，其他省（自治区、直辖市）未提出异议的明长城段落，其长度原则上应计入进行调查的省（自治区、直辖市）明长城长度。 三、对于位于两个或多个省（自治区、直辖市）边界地带，明长城段落的长度计算存在争议的，应由各相关省级文物行政部门负责协商确定，不涉及段落的所有权及管辖权归属。 （一）经协商达成一致意见的，相关省级文物行政部门应将协商结果及段落基本信息（包括段落起点、终点所在行政区划和坐标，长度，保存、管理状况等），以书面形式报送我局。 （二）经协商未达成一致意见的，相关省级文物行政部门应将争议段落基本信息以书面形式报请我局协调。我局协调结果仅适用于明长城长度数据计算。 （三）相关情况须于2009年7月31日前报送我局。 特此通知。 国家文物局 二○○九年七月十五日
关于慕田峪长城防雷工程项目的批复,文物督函[2016]1701号,"行政审批,安全监管",文物督函 〔 2016〕1701号 ? 北京市文物局： 你局《关于报送慕田峪长城防雷工程项目的请示》（京文物〔2016〕1178号）收悉。经研究，我局批复如下： 一、同意你局报送的慕田峪长城防雷工程项目，项目单位为怀柔区文物管理所。 二、防护对象及范围：慕田峪长城100-108号敌台。 三、主要防护措施：防直击雷装置。 四、该项目勘察设计方案已经我局委托的第三方评估咨询机构评审通过，并经项目单位组织修改完善。应按照勘察设计方案内容，依法依规履行项目实施程序，确保工程质量和文物安全。 五、项目实施中如需对防护范围、防护重点及主要防护措施等有关内容进行调整，应及时向我局提交项目变更申请。 六、项目实施中要落实防雷设施敷设安装的具体文物保护措施，防雷设施建设、管线布设和设备安装等不得对文物本体及环境风貌造成破坏。 七、要明确项目建设完成后日常管理维护的责任单位和经费来源，加强日常维护和检测，确保系统使用功能。 八、请你局监督指导项目实施，加强事中事后监管，按照要求及时向我局报送项目实施进度情况，检查评估项目实施效果。 国家文物局??????? 2016年10月18日
关于山东省长城认定的批复,文物保函[2012]949号,世界遗产,文物保函〔2012〕949号 山东省文物局： 你局《关于齐长城认定工作的请示》（鲁文物[2012]217号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，山东省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织国内长城保护领域的权威专家评审，现就山东省长城提出认定意见如下： 一、认定山东省春秋战国齐长城分布于16个县（市、区），其东起青岛市黄岛区，经胶南市、诸城市、五莲县、莒县、安丘市、沂水县、临朐县、沂源县、淄博市博山区、淄川区，莱芜市莱城区、章丘市、济南市历城区、肥城市，西迄济南市长清区。详见附表。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请山东省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹，都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 山东省长城认定表 国家文物局 二〇一二年五月八日
关于山西省长城认定的批复,文物保函[2012]997号,"行政审批,世界遗产",文物保函〔2012〕997号 山西省文物局： 你局《关于山西省长城认定工作情况的报告》（晋文物[2011]233号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，山西省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就山西省长城提出认定意见如下： 一、认定山西省长城分布于39个县、市、区，包括战国、汉、北魏、东魏、北齐、隋、五代、明等历史时期修筑或使用的长城墙体及附属设施，详见附表。其中： 战国长城东起陵川县，经壶关县，西迄高平县。 汉长城东起天镇县，经左云县，西迄右玉县。 北魏长城分布于天镇县。 东魏长城分布于宁武县。 北齐长城分为两条线，第一条线东起广灵县，经浑源县、应县、山阴县、代县、原平市、宁武县、神池县、五寨县、岢岚县，西迄兴县；第二条线东起左云县、经朔州市平鲁区，西迄偏关县。泽州县也有分布。 隋长城分布于岢岚县。 五代长城分布于沁水县。 明外长城东起于天镇县，经阳高县、大同县，大同市新荣区、城区、南郊区，左云县、右玉县、朔州市平鲁区，西迄河曲县。明内长城第一条线东起灵丘县，经广灵县、浑源县、怀仁县、应县、山阴县、繁峙县、代县、原平市、朔州市朔城区、宁武县、神池县，西迄偏关县；第二条线北起灵丘县，经五台县、盂县、阳泉市郊区、平定县、昔阳县、和顺县、左权县，南迄黎城县。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请山西省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如碑碣、居住址、砖瓦窑、采石场、戍卒墓地等），都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 山西省长城认定表 国家文物局 二〇一二年五月十四日
关于宁夏回族自治区长城认定的批复,文物保函[2012]942号,世界遗产,文物保函〔2012〕942号 宁夏回族自治区文物局： 你局《关于报送〈宁夏境内长城认定〉的请示》（宁文物发[2011]39号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，宁夏回族自治区圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就宁夏回族自治区长城提出认定意见如下： 一、认定宁夏回族自治区长城分布于19个县（市、区），包括战国、秦汉、宋、明等历史时期修筑或使用的长城墙体及附属设施，详见附表。其中： 战国秦长城东起彭阳县，经固原市原州区，西迄西吉县。 秦汉长城分布于固原市原州区和彭阳县。 宋长城东起固原市原州区，西迄西吉县。 明长城东起盐池县，经吴忠市利通区、红寺堡区，青铜峡市、同心县、石嘴山市惠农区、平罗县、石嘴山市大武口区、贺兰县、灵武市、银川市兴庆区、永宁县、银川市西夏区、固原市原州区、西吉县、中宁县、海原县，西迄中卫市沙坡头区。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请宁夏回族自治区人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如题刻等），都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 宁夏回族自治区长城认定表 国家文物局 二〇一二年五月十一日
